@relation F:\arbitrary\postureData
@ATTRIBUTE XpositionHip real
@ATTRIBUTE YpositionHip real
@ATTRIBUTE ZpositionHip real
@ATTRIBUTE ZrotationHip real
@ATTRIBUTE XrotationHip real
@ATTRIBUTE YrotationHip real
@ATTRIBUTE ZrotationLeftHip real
@ATTRIBUTE XrotationLeftHip real
@ATTRIBUTE YrotationLeftHip real
@ATTRIBUTE ZrotationLeftKnee real
@ATTRIBUTE XrotationLeftKnee real
@ATTRIBUTE YrotationLeftKnee real
@ATTRIBUTE ZrotationLeftAnkle real
@ATTRIBUTE XrotationLeftAnkle real
@ATTRIBUTE YrotationLeftAnkle real
@ATTRIBUTE ZrotationRightHip real
@ATTRIBUTE XrotationRightHip real
@ATTRIBUTE YrotationRightHip real
@ATTRIBUTE ZrotationRightKnee real
@ATTRIBUTE XrotationRightKnee real
@ATTRIBUTE YrotationRightKnee real
@ATTRIBUTE ZrotationRightAnkle real
@ATTRIBUTE XrotationRightAnkle real
@ATTRIBUTE YrotationRightAnkle real
@ATTRIBUTE ZrotationChest real
@ATTRIBUTE XrotationChest real
@ATTRIBUTE YrotationChest real
@ATTRIBUTE ZrotationLeftCollar real
@ATTRIBUTE XrotationLeftCollar real
@ATTRIBUTE YrotationLeftCollar real
@ATTRIBUTE ZrotationLeftShoulder real
@ATTRIBUTE XrotationLeftShoulder real
@ATTRIBUTE YrotationLeftShoulder real
@ATTRIBUTE ZrotationLeftElbow real
@ATTRIBUTE XrotationLeftElbow real
@ATTRIBUTE YrotationLeftElbow real
@ATTRIBUTE ZrotationLeftWrist real
@ATTRIBUTE XrotationLeftWrist real
@ATTRIBUTE YrotationLeftWrist real
@ATTRIBUTE ZrotationRightCollar real
@ATTRIBUTE XrotationRightCollar real
@ATTRIBUTE YrotationRightCollar real
@ATTRIBUTE ZrotationRightShoulder real
@ATTRIBUTE XrotationRightShoulder real
@ATTRIBUTE YrotationRightShoulder real
@ATTRIBUTE ZrotationRightElbow real
@ATTRIBUTE XrotationRightElbow real
@ATTRIBUTE YrotationRightElbow real
@ATTRIBUTE ZrotationRightWrist real
@ATTRIBUTE XrotationRightWrist real
@ATTRIBUTE YrotationRightWrist real
@ATTRIBUTE ZrotationNeck real
@ATTRIBUTE XrotationNeck real
@ATTRIBUTE YrotationNeck real
@ATTRIBUTE ZrotationHead real
@ATTRIBUTE XrotationHead real
@ATTRIBUTE YrotationHead real
@ATTRIBUTE emotion {triumphant,concentrated,defeated,frustrated}
@Data
96.635956,38.534092,-40.899689,-173.908081,179.693390,-58.472164,-3.305775,-2.252117,-1.983076,-0.000005,15.911614,-0.000001,10.217190,-2.985824,-21.490122,4.190648,-1.365972,7.592757,-0.000003,26.194475,0.000003,-10.945041,-0.726013,-4.444134,5.395066,0.141990,-5.465121,0.598463,0.041184,-0.606265,-0.080605,-1.772459,16.835884,-125.353668,-49.353168,-83.292915,-83.990822,-9.541563,2.264669,0.598463,0.041184,-0.606265,-2.206597,9.660933,-41.604610,124.658852,-49.593525,82.764771,76.279724,-28.543373,-11.325708,-3.752740,2.291905,-3.019766,-14.331138,10.243922,-11.179965,triumphant
561.370178,39.361740,-320.085022,-170.149490,178.663086,-61.873264,4.030242,1.768084,-1.171919,-0.000003,29.706842,0.000002,15.405911,-2.033240,-24.680811,-4.770874,4.897612,1.052787,-0.000009,14.406601,0.000003,4.287220,-6.665137,69.057915,10.220085,6.673808,-5.647714,1.100748,0.789385,-0.566632,-6.604245,-20.018585,-3.478172,-115.592445,-52.175003,-75.722755,-65.304375,-16.735249,-5.212288,1.100748,0.789385,-0.566632,4.383981,-7.069300,-2.118117,128.426971,-48.209507,85.605011,61.344395,-23.067533,8.059102,-3.265184,0.029076,-2.806899,-12.998405,1.069592,-11.154803,triumphant
41.411877,38.340916,1.317303,-178.318008,177.953201,-48.784370,-1.216563,-6.604968,-3.604305,-0.000003,5.914122,-0.000004,9.202420,-3.553254,-34.790707,0.323135,4.189389,-2.360031,0.000000,11.807138,-0.000000,-8.270817,-9.233192,-9.842966,-2.134904,-1.149841,5.458907,-0.242485,-0.117635,0.608581,-2.341527,-3.783464,0.449662,-2.125110,-3.031442,-0.056237,4.289040,3.092300,-14.646356,-0.242485,-0.117635,0.608581,5.869429,-35.870068,-3.683025,9.368463,-13.087535,1.077024,9.308584,7.233733,-50.868500,1.527012,4.813319,-4.916178,8.772370,18.162209,-21.002506,concentrated
42.248550,38.745678,18.267998,-174.842697,179.892929,-88.736160,3.384647,1.286810,-1.365155,0.000004,1.788548,-0.000001,3.745764,-0.352026,-13.615421,-0.242647,5.075633,-1.428727,-0.000000,1.630250,0.000001,-2.974951,-0.205630,-4.188002,-1.532216,-0.267041,-0.839926,-0.170050,-0.030788,-0.092965,7.351729,4.235055,46.948006,-77.280182,-54.328300,-44.609043,-54.637737,-28.881128,-23.545086,-0.170050,-0.030788,-0.092965,4.922536,-18.305910,-6.668216,32.358715,-37.393246,11.215411,19.514980,9.252735,-27.197620,1.937112,0.198560,-3.373804,7.771434,0.106622,-13.508472,triumphant
47.166195,38.123379,21.228283,-172.203278,176.929382,-83.211319,-10.764773,5.461851,-1.460815,-0.000004,2.310648,-0.000006,-2.085999,-3.994412,-2.225732,12.029119,-10.011860,2.927259,0.000014,8.660988,-0.000002,-6.049548,3.757760,0.304013,-3.184719,12.288675,-4.947535,-0.404411,1.351109,-0.580688,-19.796751,-27.002968,-8.033250,-128.945847,-48.002968,-85.991249,-78.314171,-19.193439,3.825453,-0.404411,1.351109,-0.580688,5.920923,-11.541333,8.681370,79.397560,-54.535095,46.331440,45.308823,10.303146,-14.563473,1.281243,-2.056598,-2.669361,4.556430,-8.547556,-10.452861,concentrated
27.465179,39.338493,85.041130,1.728067,-3.117965,36.572525,10.886561,-2.452665,17.229372,-0.000001,8.521567,0.000001,5.242720,5.012517,-12.462562,-6.781628,3.680197,-0.368333,-0.000000,2.707491,0.000002,-4.653783,-1.847182,-3.221780,5.726713,11.502665,-3.830016,0.595385,1.295767,-0.366657,-11.387913,-23.985685,-28.810415,-23.613611,-29.772514,-6.360874,-35.090858,1.880045,33.829720,0.595385,1.295767,-0.366657,17.526838,-17.647511,8.087368,3.381563,-4.815200,0.142219,-8.380177,-2.134198,-47.370541,2.780785,3.549327,-3.208621,12.439098,13.111070,-14.022200,defeated
21.867411,39.607178,40.081413,-0.490894,1.361818,17.880346,4.440964,-11.567671,11.688138,0.000000,17.181902,-0.000002,7.368032,-3.988955,-5.304019,6.772060,-2.080125,-2.734001,0.000000,-0.310852,0.000000,-0.692286,10.487639,3.358709,9.035835,37.398808,-17.663559,0.379391,4.251884,-1.575933,-39.624905,-71.227776,-66.172386,-8.191717,-11.502126,-0.826410,9.927475,3.987842,33.512032,0.379391,4.251884,-1.575933,-118.489334,-111.198029,-88.259201,3.686039,-5.245880,0.168917,-11.163834,0.079448,-23.022827,-2.035877,-9.792800,8.849713,2.141526,-39.304543,38.276970,concentrated
34.947536,38.721249,100.759056,3.860579,-0.475255,45.556751,-10.004972,3.094401,0.223353,-0.000000,2.712307,-0.000001,10.006588,-6.997926,2.711479,11.362665,-1.263805,-12.475546,-0.000001,14.230992,-0.000001,-1.285047,1.498762,-8.923014,1.250738,8.724667,-2.288488,0.121398,0.971747,-0.244226,-4.095636,-15.431129,-14.465521,-29.904655,-35.451427,-9.757996,-24.092848,-3.906278,27.369886,0.121398,0.971747,-0.244226,3.985415,-7.876654,1.030427,34.286789,-38.817604,12.405403,22.431807,0.585105,-21.591095,-1.614124,-1.529681,9.339347,-4.719490,-7.372452,37.208584,concentrated
39.029373,43.062393,98.523048,6.475121,1.405786,56.929718,-11.766359,1.419736,-7.277550,-0.000000,1.479492,0.000001,1.171184,-2.059946,-5.267579,-1.478744,-11.275637,-4.720354,0.000000,23.587145,-0.000004,12.160188,52.684662,-23.398947,-4.839307,8.300043,-4.299158,-0.567094,0.903685,-0.511057,-1.588268,-15.463091,-21.290262,-28.924725,-34.634319,-9.195310,-45.421631,24.199354,-14.300157,-0.567094,0.903685,-0.511057,2.986924,-3.620576,-2.913013,31.135941,-36.444118,10.480871,19.502178,-0.565519,-29.629251,-3.566192,2.653681,8.574416,-16.118040,6.989458,35.211582,concentrated
41.006760,39.021992,95.993523,0.602504,3.289763,52.107288,-0.081159,-6.928704,4.099095,0.000000,1.359571,0.000001,8.720222,-1.935801,-15.492186,4.210344,5.704879,-8.556483,-0.000000,2.073573,0.000001,-4.164682,-0.348991,-10.989693,0.438934,11.892090,-2.028874,0.027734,1.322005,-0.219888,-0.243826,-7.573173,-6.074614,-34.810246,-39.189434,-12.734852,-39.233490,0.196214,13.129429,0.027734,1.322005,-0.219888,-5.479725,1.202975,-22.644615,6.209508,-8.781338,0.477244,-4.001176,-6.410151,-37.796165,-3.272930,-4.368816,11.129955,-7.463759,-20.004068,44.203648,concentrated
